id,nom,adresse,commune,type,latitude,longitude,geo
102,MAIRIE DE MONS,AVENUE ROBERT SCHUMAN,MONS EN BAROEUL,AVEC TPE,50.64218,3.109699,"(50.64218, 3.109699)"
110,RUE BONTE-POLLET,11 RUE BONTE POLLET,LILLE,AVEC TPE,50.62487,3.034234,"(50.62487, 3.034234)"
144,ANNAPPES REPUBLIQUE,FACE AU 1 BIS RUE DE LA STATION,VILLENEUVE D'ASCQ,AVEC TPE,50.6258,3.14862,"(50.6258, 3.14862)"
147,FAUBOURG D'ARRAS,2 RUE MARCEL HÉNAUX,LILLE,AVEC TPE,50.614052,3.062195,"(50.614052, 3.062195)"
153,POMPIDOU,FACE AU 102 ALLEE DU RIEZ,LA MADELEINE,AVEC TPE,50.65547,3.064989,"(50.65547, 3.064989)"
156,ST ANDRE MAIRIE,FACE AU 92 RUE DU GENERAL LECLERC,SAINT ANDRE LEZ LILLE,AVEC TPE,50.661602,3.050322,"(50.661602, 3.050322)"
160,PARVIS ROTTERDAM,Parvis Rotterdam,LILLE,AVEC TPE,50.637709,3.077478,"(50.637709, 3.077478)"
165,JEAN SANS PEUR,68 RUE JEAN SANS PEUR,LILLE,AVEC TPE,50.632367,3.05816,"(50.632367, 3.05816)"
172,PLACE DE LA GARONNE,Rue de la Seine,LILLE,AVEC TPE,50.612635,3.059261,"(50.612635, 3.059261)"
189,HAUT DE MONS,184 rue du général de Gaulle,MONS EN BAROEUL,SANS TPE,50.646418,3.106625,"(50.646418, 3.106625)"
193,BEL AIR,115 Rue de Lambersart,SAINT-ANDRÉ-LEZ-LILLE,AVEC TPE,50.658146,3.042003,"(50.658146, 3.042003)"
202,PARC BARBIEUX,AVENUE JEAN JAURES,ROUBAIX,AVEC TPE,50.677914,3.162353,"(50.677914, 3.162353)"
207,EUROTELEPORT,"78-84, BOULEVARD DU GÉNÉRAL LECLERC",ROUBAIX,AVEC TPE,50.69138,3.17966,"(50.69138, 3.17966)"
239,BVRD DE L EGALITE,SECTEUR BVLD EGALITE,TOURCOING,AVEC TPE,50.730289,3.167723,"(50.730289, 3.167723)"
242,TOURCOING GARE,PLACE PIERRE SEMARD,TOURCOING,AVEC TPE,50.716843,3.167834,"(50.716843, 3.167834)"
245,JARDIN BOTANIQUE,"126, RUE VERTE",TOURCOING,AVEC TPE,50.724581,3.166122,"(50.724581, 3.166122)"
266,MAIRIE DE QUARTIER OUEST,205-189 rue de l'Epeule,ROUBAIX,AVEC TPE,50.6875,3.1585592,"(50.6875, 3.1585592)"
302,FACHES THUMESNIL MAIRIE,Rue Roger Salengro,FACHES THUMESNIL,AVEC TPE,50.60301,3.06925,"(50.60301, 3.06925)"
303,RÉSISTANCE,Rue Carnot,FACHES THUMESNIL,AVEC TPE,50.60709,3.06558,"(50.60709, 3.06558)"
126,LE POLYEDRE,"FACE AU 38, AVENUE RHIN ET DANUBE",MONS EN BAROEUL,AVEC TPE,50.64057,3.115571,"(50.64057, 3.115571)"
87,JULES GUESDE,RUE ST ELOI,LILLE HELLEMMES,AVEC TPE,50.632393,3.110669,"(50.632393, 3.110669)"
268,BLANCHEMAILLE,59-55 RUE DE BLANCHEMAILLE,ROUBAIX,AVEC TPE,50.6967934,3.1684926,"(50.6967934, 3.1684926)"
269,DELORY BARBIEUX,12 Avenue Gustave Delory,ROUBAIX,AVEC TPE,50.676944,3.167306,"(50.676944, 3.167306)"
271,WASQUEHAL HOTEL DE VILLE,Wasquehal Hotel de ville,WASQUEHAL,AVEC TPE,50.669867,3.131048,"(50.669867, 3.131048)"
6,REPUBLIQUE BEAUX ARTS,2 RUE INKERMAN,LILLE,AVEC TPE,50.630943,3.060299,"(50.630943, 3.060299)"
51,JB LEBAS,2 RUE CAMBRAI,LILLE,AVEC TPE,50.62482,3.068689,"(50.62482, 3.068689)"
2,UNIVERSITE CATHOLIQUE,RUE DU PORT BD VAUBAN,LILLE,AVEC TPE,50.632233,3.046134,"(50.632233, 3.046134)"
4,MAISON FOLIE WAZEMMES,28 RUE DE L'HOPITAL SAINT ROCH,LILLE,AVEC TPE,50.624695,3.048961,"(50.624695, 3.048961)"
9,RUE DE TOUL,18 RUE DE TOUL,LILLE,AVEC TPE,50.63393,3.044986,"(50.63393, 3.044986)"
15,ESPLANADE,PONT DU PETIT PARADIS,LILLE,AVEC TPE,50.6449,3.050645,"(50.6449, 3.050645)"
32,PLACE AUX BLEUETS,15 RUE DE COURTRAI,LILLE,AVEC TPE,50.64142,3.067873,"(50.64142, 3.067873)"
45,BRULE MAISON,51 RUE DES POSTES,LILLE,AVEC TPE,50.62633,3.05659,"(50.62633, 3.05659)"
56,BD VICTOR HUGO,214 BOULEVARD VICTOR HUGO,LILLE,AVEC TPE,50.620304,3.055471,"(50.620304, 3.055471)"
57,BARTHELEMY DELESPAUL,FACE AU 52 RUE BARTHELEMY DELESPAUL,LILLE,AVEC TPE,50.62418,3.058902,"(50.62418, 3.058902)"
70,CITE ADMINISTRATIVE,51 RUE DE TOURNAI,LILLE,AVEC TPE,50.63424,3.073991,"(50.63424, 3.073991)"
76,FIVES,123 RUE PIERRE LEGRAND,LILLE,AVEC TPE,50.632996,3.089651,"(50.632996, 3.089651)"
78,HOTEL DE POLICE,RUE DU FAUBOURG DES POSTES,LILLE,AVEC TPE,50.615536,3.048518,"(50.615536, 3.048518)"
79,CIMETIERE DU SUD,65 RUE DU FAUBOURG DES POSTES,LILLE,AVEC TPE,50.61295,3.047268,"(50.61295, 3.047268)"
